first_name,last_name,college_G,college_GS,college_MP,FG_per100,FGA_per100,FG%_per100,2P_per100,2PA_per100,2P%_per100,3P_per100,3PA_per100,3P%_per100,FT_per100,FTA_per100,FT%_per100,TRB_per100,AST_per100,STL_per100,BLK_per100,TOV_per100,PF_per100,PTS_per100,ORtg_per100,DRtg_per100
bernard,james-,35,35,979,9.5,15.7,0.606,9.5,15.7,0.606,0.0,0.0,,3.9,7.0,0.552,17.1,1.0,1.6,5.0,4.4,4.1,22.9,109.8,89.1
jae,crowder,35,35,1153,10.6,21.4,0.498,7.7,12.7,0.602,3.0,8.7,0.345,5.8,7.9,0.735,14.4,3.6,4.3,1.7,2.2,4.6,30.1,125.7,85.9
draymond,green,37,36,1229,10.6,23.6,0.449,8.0,16.9,0.473,2.6,6.7,0.387999999999998,6.3,8.7,0.723,19.7,7.1,2.7,1.8,5.6,5.3,30.1,109.6,83.6
orlando,johnson,31,31,1067,12.0,26.6,0.451,8.0,17.1,0.46399999999999897,4.1,9.5,0.42700000000000005,7.4,10.6,0.698,10.4,5.3,2.0,1.3,4.4,3.3,35.5,115.5,102.6
quincy,acy,38,38,1130,8.3,14.5,0.5770000000000001,8.2,14.2,0.5760000000000001,0.2,0.3,0.6,7.2,9.2,0.782,14.9,2.0,1.8,3.7,3.7,6.2,24.0,123.1,95.3
quincy,miller,37,35,903,9.1,20.4,0.447,7.5,15.8,0.475,1.6,4.6,0.348,6.1,7.5,0.816,12.0,3.5,1.7,1.6,4.4,4.6,25.9,110.1,98.8
khris,middleton,20,17,575,11.2,27.0,0.415,9.0,18.6,0.485,2.2,8.5,0.26,4.3,5.7,0.75,10.9,4.9,2.1,0.5,4.7,4.1,28.9,98.0,97.6
will,barton,35,34,1236,11.1,21.8,0.509,9.3,16.6,0.558999999999999,1.8,5.2,0.34600000000000003,6.5,8.6,0.7490000000000001,13.4,4.9,2.4,1.2,3.6,3.6,30.4,119.3,92.3
tyshawn,taylor,39,38,1303,10.3,21.6,0.47700000000000004,7.7,14.7,0.522,2.6,6.9,0.382,6.2,9.1,0.688,4.1,8.5,2.4,0.3,6.3,3.5,29.5,106.9,97.7
doron,lamb,40,35,1249,8.4,17.8,0.474,4.8,9.9,0.48100000000000004,3.7,7.9,0.466,5.9,7.2,0.826,5.2,2.9,0.9,0.1,2.1,3.5,26.5,131.1,101.0
mike,scott,32,32,999,14.1,25.0,0.563,13.7,23.7,0.5770000000000001,0.4,1.3,0.3,9.1,11.3,0.8079999999999979,17.4,2.4,1.4,1.0,4.4,3.7,37.7,118.4,87.4
kim,english,35,35,1175,8.8,16.8,0.521,4.8,8.1,0.589,4.0,8.7,0.45899999999999896,4.5,6.2,0.725,7.6,2.9,2.3,0.5,3.0,4.3,26.0,123.7,102.6
justin,hamilton,33,32,990,9.6,19.5,0.494,9.5,18.8,0.503,0.2,0.7,0.25,6.5,8.4,0.7809999999999979,14.5,1.8,1.5,2.6,3.5,5.1,26.0,113.1,96.5
darius,miller,40,11,1043,8.3,17.5,0.474,5.0,8.8,0.569,3.2,8.6,0.376,3.2,4.0,0.797,6.4,4.7,1.9,0.8,3.4,5.0,23.0,119.8,98.3
kevin,murphy,33,32,1139,12.2,27.5,0.444,8.2,17.8,0.46,4.0,9.7,0.41600000000000004,6.3,8.8,0.721,8.9,3.9,1.4,0.4,5.5,3.6,34.9,105.6,106.0
kyle,oquinn,36,36,1125,10.7,18.6,0.573,10.3,16.9,0.61,0.3,1.7,0.188,8.1,11.6,0.696,19.3,2.7,1.3,5.0,4.9,6.1,29.7,116.2,91.1
kris,joseph,37,37,1192,8.4,20.1,0.42100000000000004,5.8,12.5,0.467,2.6,7.6,0.345,6.0,8.1,0.745,9.0,2.9,2.6,1.2,2.8,3.2,25.5,113.7,96.7
darius,johnson-odom,34,33,1120,10.6,23.7,0.447,6.7,13.6,0.493,3.9,10.1,0.385,6.4,8.3,0.764,6.0,4.7,1.6,0.2,4.0,3.4,31.5,111.9,99.9
robbie,hummel,35,35,1128,10.7,25.5,0.41700000000000004,6.7,15.2,0.44,4.0,10.3,0.382999999999998,6.2,7.5,0.825,13.8,3.6,1.3,2.3,1.8,4.0,31.5,120.1,101.6
marcus,denmon,35,35,1212,9.9,21.6,0.46,5.0,9.5,0.526,4.9,12.1,0.40700000000000003,6.0,6.7,0.8959999999999979,8.8,3.7,2.7,0.0,2.0,1.7,30.8,129.7,101.5
robert,sacre,33,33,868,8.1,15.9,0.511,8.1,15.7,0.515,0.0,0.1,0.0,10.4,13.7,0.760999999999999,14.4,1.7,0.8,3.3,4.2,5.0,26.6,116.8,95.1
kyrie,irving,11,8,303,10.3,19.6,0.529,7.0,12.2,0.569,3.4,7.3,0.462,12.0,13.4,0.9009999999999979,7.0,8.8,3.0,1.1,5.1,4.3,36.1,135.1,92.7
