first_name,last_name,college_PER,college_TS%,college_eFG%,college_3PAr,college_FTr,college_PProd,college_ORB%,college_DRB%,college_TRB%,college_AST%,college_STL%,college_BLK%,college_TOV%,college_USG%,college_OWS,college_DWS,college_WS,college_WS_40,college_OBPM,college_DBPM,college_BPM
marcus,smart,26.9,0.552,0.486,0.425,0.648,589,5.1,14.9,10.2,30.1,5.0,1.9,14.0,29.2,3.1,2.5,5.6,0.22,8.0,5.5,13.5
julius,randle,24.5,0.5670000000000001,0.505,0.046,0.7390000000000001,599,13.3,24.7,19.2,10.0,1.0,2.6,16.1,25.4,3.5,2.4,5.9,0.191,4.2,3.0,7.1
nik,stauskas,22.7,0.642,0.586,0.528,0.518,594,1.6,8.8,5.3,18.8,1.0,0.9,12.0,24.4,5.0,1.1,6.2,0.193,9.0,0.2,9.2
noah,vonleh,22.2,0.604,0.56,0.153,0.62,321,10.8,27.3,19.4,4.9,1.9,5.4,18.6,21.4,1.6,2.0,3.6,0.182,1.2,4.9,6.1
elfrid,payton,25.2,0.551,0.524,0.115999999999999,0.648,732,7.1,11.7,9.4,32.9,3.6,1.7,17.2,27.6,3.7,1.9,5.6,0.177,4.7,2.1,6.8
doug,mcdermott,32.8,0.644,0.603,0.341,0.32899999999999896,788,6.4,17.8,12.6,11.5,0.4,0.5,7.9,36.2,6.3,1.4,7.7,0.261,9.8,-1.6,8.2
zach,lavine,14.6,0.545,0.524,0.444,0.23600000000000002,324,2.4,9.5,6.1,12.6,2.1,0.8,11.6,20.1,1.4,1.2,2.5,0.111,2.8,0.7,3.5
tj,warren,31.3,0.574,0.5479999999999989,0.17800000000000002,0.34700000000000003,775,10.8,12.7,11.8,8.6,3.1,1.8,9.9,35.5,4.7,1.7,6.5,0.209,8.3,0.5,8.8
adreian,payne,25.1,0.607,0.565,0.294,0.39,443,6.8,22.9,15.2,10.2,1.0,3.8,13.1,28.9,2.7,1.7,4.3,0.2,4.5,2.1,6.6
james,young,16.6,0.536,0.498,0.522,0.39299999999999896,527,3.7,11.0,7.5,10.8,1.4,0.6,12.3,23.4,3.0,1.7,4.7,0.145,5.2,0.8,6.0
tyler,ennis,21.3,0.511,0.45299999999999896,0.23600000000000002,0.414,480,2.6,9.0,5.7,32.3,3.9,0.7,11.9,21.9,3.2,2.2,5.5,0.18,5.4,2.3,7.7
gary,harris,22.5,0.561,0.518,0.505,0.312,542,4.0,10.2,7.3,16.8,3.4,1.6,10.3,26.8,3.3,2.0,5.3,0.188,6.9,2.5,9.4
mitch,mcgary,26.2,0.5720000000000001,0.545,0.036000000000000004,0.436,84,15.5,27.1,21.5,12.6,4.9,3.2,16.4,22.5,0.5,0.5,1.0,0.20800000000000002,4.7,7.2,11.9
jordan,adams,28.3,0.603,0.545,0.34,0.441,594,7.5,13.1,10.4,14.7,5.0,0.6,9.4,26.5,4.2,2.2,6.4,0.237,8.7,3.3,12.0
rodney,hood,20.1,0.59,0.55,0.41,0.32799999999999896,507,2.9,11.7,7.2,13.2,1.3,0.8,10.2,23.8,3.6,1.2,4.9,0.17,6.6,0.6,7.2
shabazz,napier,25.5,0.591,0.517,0.433,0.48,745,3.4,15.0,9.7,30.8,3.2,1.0,15.8,27.5,4.9,3.1,7.9,0.226,8.2,4.1,12.3
pj,hairston,27.1,0.586,0.551,0.61,0.306,437,8.4,12.5,10.2,11.2,3.0,1.7,8.4,27.0,3.4,1.2,4.6,0.228,10.1,1.6,11.7
cj,wilcox,22.0,0.598,0.556,0.529,0.271,527,2.3,10.6,6.4,15.4,1.7,2.8,9.9,24.6,3.6,0.9,4.4,0.159,7.2,0.2,7.4
josh,huestis,17.3,0.51,0.488,0.223,0.295,413,8.8,18.4,13.7,6.8,1.0,5.9,9.8,18.0,1.9,2.1,4.0,0.126,1.4,4.7,6.1
