first_name,last_name,last_college_season,%_shots_at_rim,FG%_at_rim,%assisted_at_rim,%_shots_2pt_J,FG%_2pt_Jumpers,%assisted_2pt_J,%of_shots_3pt,3FG%,%assisted_3s,FTA/FGA,FT%
joe,harris-,2013-14,0.257,0.563,0.347,0.21,0.394,0.393,0.533,0.4,0.917,0.337,0.64
cleanthony,early,2013-14,0.31,0.698,0.667,0.23,0.395,0.559,0.46,0.372,0.938,0.465,0.839
jarnell,stokes,2013-14,0.491,0.69,0.504,0.509,0.377,0.25,0.0,---,---,0.613,0.696
johnny,obryant,2013-14,0.324,0.69,0.494,0.671,0.401,0.364,0.005,0.5,1,0.457,0.632
deandre,daniels,2013-14,0.344,0.601,0.53,0.357,0.385,0.382,0.299,0.417,0.98,0.222,0.787
spencer,dinwiddie,2013-14,0.374,0.592,0.172,0.145,0.316,0.167,0.481,0.413,0.615,0.908,0.857
jerami,grant,2013-14,0.474,0.654,0.47,0.507,0.368,0.58,0.019,0,---,0.664,0.674
glenn,robinson,2013-14,0.257,0.833,0.6,0.453,0.408,0.261,0.29,0.306,0.909,0.308,0.757
nick,johnson,2013-14,0.226,0.682,0.685,0.418,0.354,0.329,0.357,0.367,0.806,0.395,0.781
markel,brown,2013-14,0.343,0.674,0.43,0.296,0.353,0.214,0.361,0.379,0.727,0.483,0.768
dwight,powell,2013-14,0.364,0.652,0.289,0.533,0.371,0.32,0.103,0.256,0.8,0.557,0.687
jordan,clarkson,2013-14,0.434,0.596,0.107,0.323,0.371,0.089,0.244,0.281,0.594,0.417,0.831
russ,smith,2013-14,0.376,0.634,0.252,0.245,0.351,0.1,0.378,0.386,0.809,0.462,0.712
lamar,patterson,2013-14,0.264,0.653,0.354,0.286,0.328,0.326,0.45,0.388,0.838,0.382,0.754
cameron,bairstow,2013-14,0.467,0.693,0.623,0.526,0.438,0.714,0.007,0.333,1,0.7,0.735
alec,brown,2013-14,0.297,0.641,0.5,0.415,0.396,0.737,0.288,0.42,1,0.349,0.727
semaj,christon,2013-14,0.54,0.577,0.58,0.343,0.354,0.235,0.117,0.388,0.579,0.56,0.668
roy,devyn-marble,2013-14,0.266,0.621,0.319,0.392,0.345,0.441,0.342,0.349,0.904,0.456,0.714
jordan,mcrae,2013-14,0.25,0.688,0.409,0.311,0.352,0.214,0.439,0.351,0.785,0.414,0.788
xavier,thames,2013-14,0.177,0.519,0.143,0.464,0.401,0.059,0.359,0.372,0.541,0.514,0.834
cory,jefferson,2013-14,0.429,0.665,0.667,0.467,0.378,0.538,0.103,0.368,1,0.582,0.64
anthony,bennett,2012-13,0.401,0.723,0.636,0.35,0.434,0.786,0.249,0.37,0.971,0.48,0.701
victor,oladipo,2012-13,0.602,0.699,0.359,0.174,0.453,0.25,0.224,0.441,0.8,0.428,0.746
otto,porter,2012-13,0.254,0.674,0.517,0.454,0.409,0.677,0.291,0.422,0.86,0.449,0.777
cody,zeller,2012-13,0.684,0.624,0.576,0.311,0.436,0.438,0.006,0,---,0.732,0.757
alex,len,2012-13,0.543,0.716,0.635,0.432,0.329,0.609,0.025,0.125,1,0.472,0.686
nerlens,noel,2012-13,0.602,0.76,0.566,0.398,0.333,0.409,0.0,---,---,0.627,0.529
ben,mclemore,2012-13,0.315,0.706,0.528,0.25,0.36,0.472,0.435,0.42,0.932,0.345,0.87
kentavious,caldwell-pope,2012-13,0.219,0.67,0.365,0.258,0.351,0.385,0.523,0.373,0.607,0.393,0.799
trey,burke,2012-13,0.191,0.645,0.188,0.455,0.447,0.079,0.354,0.384,0.487,0.296,0.801
cj,mccollum,2012-13,0.32,0.548,0.382,0.351,0.426,0.138,0.33,0.516,0.667,0.376,0.849
michael,carter-williams,2012-13,0.363,0.601,0.186,0.332,0.26,0.088,0.305,0.292,0.629,0.472,0.694
steven,adams,2012-13,0.726,0.661,0.631,0.274,0.333,0.562,0.0,---,---,0.4,0.443
kelly,olynyk,2012-13,0.646,0.71,0.567,0.266,0.538,0.429,0.088,0.3,0.889,0.497,0.776
shabazz,muhammad,2012-13,0.279,0.63,0.538,0.489,0.368,0.5,0.232,0.377,1,0.395,0.711
shane,larkin,2012-13,0.277,0.585,0.177,0.277,0.491,0.115,0.445,0.406,0.377,0.293,0.777
tony,snell,2012-13,0.16,0.585,0.419,0.36,0.395,0.553,0.48,0.39,0.855,0.296,0.847
gorgui,dieng,2012-13,0.436,0.696,0.493,0.564,0.409,0.704,0.0,---,---,0.479,0.652
mason,plumlee,2012-13,0.621,0.742,0.647,0.379,0.364,0.333,0.0,---,---,0.688,0.681
solomon,hill,2012-13,0.235,0.654,0.151,0.342,0.407,0.229,0.423,0.39,0.825,0.359,0.766
tim,hardaway-jr,2012-13,0.187,0.733,0.54,0.389,0.363,0.246,0.424,0.374,0.904,0.241,0.694
reggie,bullock,2012-13,0.138,0.735,0.417,0.295,0.457,0.604,0.567,0.436,0.966,0.205,0.767
andre,roberson,2012-13,0.549,0.607,0.386,0.239,0.317,0.3,0.212,0.339,0.895,0.341,0.544
archie,goodwin,2012-13,0.49,0.611,0.271,0.331,0.28,0.182,0.179,0.266,0.706,0.594,0.637
